protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
Q91VI7,417520000,471780000,161200000,323180000,278960000,342860000
Q91VK1,NA,NA,NA,117210000,146120000,201480000
Q91VM5;Q9WV02,1651499999.9999998,745560000,685340000,340370000,696020000,494770000
Q91VM9,67656000,182560000,94748000,150990000,190920000,163330000
Q91VR2,3485199999.9999995,2776200000,3225399999.9999995,3032199999.9999995,3092099999.9999995,3309099999.9999995
Q91VR5,416450000,93510000,389230000,862200000,728690000,1206700000
Q91VS7,8310699999.999999,8936200000,8789500000,7142899999.999999,6690199999.999999,7819299999.999999
Q91VS8,NA,64511000,59673000,6857800,14045000,117160000
Q91VT4,211220000,455090000,347550000,232100000,221240000,430810000
Q91VW5,NA,547260000,641900000,668480000,NA,651790000
Q91W18,NA,NA,NA,NA,NA,44877000
Q91W43,339280000,367520000,200730000,521630000,486010000,193080000
Q91W50,220390000,86186000,175120000,318070000,115210000,240780000
Q91W64,631190000,639420000,889220000,NA,NA,40643000
Q91W90,996950000,790600000,623900000,397470000,422710000,283430000
Q91WD5,683740000,703180000,620760000,471540000,340180000,374190000
Q91WG0,469800000,1254100000,1610199999.9999998,241390000,238390000,765400000
Q91WG8,187290000,478890000,434260000,75614000,39798000,18716000
Q91WJ8,428560000,157890000,190620000,294010000,366980000,162070000
Q91WK0,NA,NA,NA,30149000,26726000,NA
Q91WK2,6263500,14069000,25217000,55904000,NA,99370000
Q91WK5,281090000,464360000,469920000,213180000,266400000,286050000
Q91WL5;A2A974,708370000,827820000,701730000,226280000,145640000,339830000
Q91WM2,20277000,NA,NA,25095000,NA,20966000
Q91WN4,1265900000,1502999999.9999998,1444500000,842310000,301900000,458630000
Q91WQ3,47262000,NA,NA,NA,NA,25373000
Q91WS0,1547999999.9999998,1306800000,1448000000,507010000,821680000,1008800000
Q91WT8,336530000,506710000,538420000,222370000,262580000,306630000
Q91WT9,404050000,470710000,576100000,328060000,291620000,138540000
Q91WU0,5111300000,5306400000,6701499999.999999,4339600000,6178499999.999999,4138899999.999999
Q91WU5,70883000,76887000,69043000,37591000,46501000,41688000
Q91WV0,NA,NA,NA,92116000,246200000,81733000
Q91X34,251860000,NA,283620000,485700000,153010000,489970000
Q91X44,236690000,188850000,415280000,189830000,185390000,144510000
Q91X52;P08074,239280000,100100000,197240000,187840000,206050000,108960000
Q91X77,388610000,435500000,317800000,332920000,351640000,321610000
Q91X83,5674200000,5808700000,5831999999.999999,8503399999.999999,8828100000,7940499999.999999
Q91X91,432340000,264870000,466390000,211540000,292320000,245390000
Q91XD4,2310100000,2333600000,2283900000,1967100000,1845000000,1897400000
Q91XE0,2855800000,2990299999.9999995,3174699999.9999995,739560000,756200000,604650000
Q91XE4,72038000,80070000,NA,52650000,73378000,39751000
Q91XE8,773980000,NA,526290000,685030000,633510000,730900000
Q91XF0,98903000,137710000,306770000,118000000,81046000,120190000
Q91XT4,NA,NA,NA,100720000,34757000,276390000
Q91XU0,NA,102340000,73843000,NA,129550000,123960000
Q91Y97,21730000000,23502000000,25076000000,26502000000,27862000000,27381000000
Q91YH5,215440000,134690000,129990000,50770000,127450000,82286000
Q91YI0,4973800000,4782600000,5554600000,3229399999.9999995,2612700000,3045899999.9999995
Q91YJ2,NA,NA,NA,NA,NA,10282000
Q91YJ5,19155000,NA,NA,NA,13980000,NA
Q91YM4,NA,NA,90623000,NA,NA,34053000
Q91YP0,NA,107050000,111690000,NA,46893000,16788000
Q91YP2,86356000,44212000,45276000,NA,NA,NA
Q91YQ5,3209199999.9999995,3312899999.9999995,2709500000,2223700000,2294400000,2260200000
Q91YR1,79047000,153370000,222370000,21458000,118900000,26238000
Q91YR7,236340000,352080000,351050000,116300000,37752000,37624000
Q91YT0,576200000,1121300000,659820000,415590000,599290000,532160000
Q91YT7,NA,10661000,11249000,19432000,15157000,22428000
Q91YW3,134830000,223940000,173420000,60929000,47112000,63474000
Q91YY5,34109000,NA,NA,NA,NA,NA
Q91Z53,1337200000,1362400000,706280000,1326400000,955290000,388750000
Q91ZA3,2168800000,2475200000,2532400000,3453999999.9999995,2991999999.9999995,2913400000
Q91ZE0,22580000,NA,NA,NA,NA,NA
Q91ZJ5,1186500000,1645199999.9999998,1345600000,2203400000,2211500000,2237100000
Q91ZR2,NA,NA,NA,NA,NA,33566000
Q91ZW3;Q6PGB8,54224000,169310000,157070000,NA,53220000,18542000
Q91ZX7,148410000,206940000,147330000,169550000,303270000,147250000
Q920A5,NA,NA,93513000,NA,NA,NA
Q920B9,643010000,607370000,850140000,52309000,NA,114330000
Q920E5,859480000,748430000,637620000,14534000,39892000,143360000
Q920L1,NA,NA,NA,78368000,NA,NA
Q920Q6,29956000,NA,NA,NA,22773000,18101000
Q921F2,1031400000,897610000,718180000,699950000,897290000,900880000
Q921F4,NA,55397000,NA,35303000,10473000,32589000
Q921G7,3320399999.9999995,3058699999.9999995,3497099999.9999995,2751100000,3948499999.999999,4755700000
Q921H8,8884400000,10287000000,10936000000,25672000000,28689000000,28256000000
Q921H9,NA,79513000,NA,NA,NA,133100000
Q921I1;CON__Q2HJF0;Q9DBD0,380870000,372620000,602040000,360650000,305710000,417290000
Q921M3,93421000,16618000,NA,NA,NA,56398000
Q921M4,439320000,613630000,581630000,72692000,104180000,92458000
Q921N6,35821000,NA,35186000,NA,NA,NA
Q921S7,NA,26227000,39391000,NA,NA,55039000
Q921T2,65160000,20402000,NA,47404000,118400000,NA
Q921X9,2021700000,281330000,1692399999.9999998,NA,797760000,152150000
Q922B1,NA,100630000,NA,44232000,45023000,NA
Q922B2,461770000,561910000,186620000,94401000,182800000,342880000
Q922B9,NA,NA,NA,NA,NA,14221000
Q922D8,3668999999.999999,3238699999.9999995,3836899999.999999,1348400000,2004800000,1872600000
Q922E4,654830000,586110000,681070000,435780000,592130000,401040000
Q922F4,576990000,379770000,604140000,257470000,235160000,290660000
Q922P9,46527000,NA,31636000,16582000,19078000,NA
Q922Q1,686470000,1152200000,1119600000,1006800000,1641399999.9999998,1900400000
Q922Q4,47034000,NA,NA,NA,NA,NA
Q922Q8,2062800000,2093600000,2790900000,1241600000,1701899999.9999998,1992600000
Q922R8,2654200000,1859600000,1549299999.9999998,1776299999.9999998,1631199999.9999998,1783799999.9999998
Q922Y1,NA,NA,NA,46044000,93297000,138270000
Q923B6,209860000,243410000,469340000,222890000,136350000,241090000
Q923D2,709710000,961000000,724170000,608130000,728710000,834080000
Q923D5,NA,NA,NA,34770000,NA,NA
Q924D0,NA,40547000,95312000,36597000,35791000,30473000
Q924Y0,NA,NA,129300000,NA,64130000,68617000
Q924Z4,210560000,NA,305850000,144730000,130130000,120550000
Q925I1,32617000,82045000,60935000,74472000,166330000,74572000
Q925N0,NA,NA,46174000,NA,NA,NA
Q93092,282570000,354870000,173570000,19915000,106010000,20562000
Q99020,428340000,1008600000,339820000,489520000,466200000,428480000
Q99J08,933660000,1025200000,853040000,405790000,531480000,344350000
Q99J39,167650000,196260000,143840000,202440000,168910000,128520000
Q99J47,NA,NA,NA,37569000,39961000,16276000
Q99J56,77438000,64108000,78010000,NA,NA,NA
Q99J62,NA,NA,NA,NA,NA,8962400
Q99J99,482920000,631970000,581060000,750130000,927060000,1037700000
Q99JB2,184400000,264250000,205320000,19566000,73062000,23589000
Q99JB8,279670000,492720000,426590000,116860000,111180000,294740000
Q99JF8,30934000,NA,96781000,NA,NA,NA
Q99JI4,25958000,25826000,24080000,NA,NA,NA
Q99JR1,795820000,588780000,863220000,454470000,489670000,512130000
Q99JR5,6692299999.999999,8610900000,9784000000,6627399999.999999,6632299999.999999,8044599999.999999
Q99JX3,83961000,70104000,129140000,29938000,23795000,18210000
Q99JX7,NA,NA,NA,NA,36236000,41870000
Q99JY0,7694199999.999999,5483100000,7216099999.999999,6182899999.999999,4862900000,5703200000
Q99JY4,NA,NA,NA,NA,9082100,NA
Q99JY9,112000000,99457000,122250000,NA,98001000,NA
Q99K01,NA,10318000,8207900,120290000,124920000,88184000
Q99K23,NA,NA,33109000,NA,NA,55765000
Q99K28,NA,NA,NA,62139000,32441000,154160000
Q99K30,610750000,789090000,958310000,1008300000,1581699999.9999998,1418600000
Q99K41,8676200000,10442000000,9138600000,13668000000,12071000000,10213000000
Q99K48,4519500000,5658400000,5805800000,3977899999.999999,6009599999.999999,5234200000
Q99K51,133450000,260410000,89043000,102900000,65672000,41889000
Q99K67,1119700000,1382100000,1234100000,739240000,711710000,876400000
Q99KB8,721250000,475440000,807440000,294900000,306610000,396650000
Q99KC8,NA,NA,37664000,NA,NA,NA
Q99KF1,115100000,NA,104350000,NA,126300000,NA
Q99KG5,174910000,161850000,143730000,219250000,273450000,145180000
Q99KI0,4735600000,4640300000,5078900000,4393400000,3746099999.999999,3994699999.999999
Q99KI3,NA,87938000,NA,NA,NA,NA
Q99KJ8,52966000,94670000,58052000,NA,NA,14592000
Q99KK2,101340000,150620000,117550000,115010000,20101000,76678000
Q99KK7,NA,NA,41825000,NA,NA,31126000
Q99KN9,48990000,NA,NA,24386000,17079000,103420000
Q99KP6,151020000,129860000,172660000,37566000,NA,46792000
Q99KQ4,NA,88114000,NA,NA,NA,NA
Q99KR3,488300000,223270000,131100000,359910000,390970000,438450000
Q99KR7,165110000,NA,26942000,38052000,36561000,32975000
Q99KU0,NA,NA,NA,NA,NA,34230000
Q99KV1,564730000,520970000,310980000,81954000,172150000,135180000
Q99KW3,56914000,NA,NA,NA,36057000,NA
Q99KY4,NA,NA,112570000,65532000,77417000,98890000
Q99L04,798780000,950970000,916090000,1172000000,741030000,1301200000
Q99L13,888830000,1001200000,945570000,1037300000,743160000,1302100000
Q99L20,NA,NA,NA,54790000,89559000,82485000
Q99L43,30480000,37009000,NA,115110000,94409000,NA
Q99L45,246940000,421050000,422400000,260650000,236930000,435010000
Q99L47,237270000,120800000,209250000,212500000,156760000,175810000
Q99L88,214520000,156680000,150790000,374430000,592240000,244820000
Q99LB2,1533099999.9999998,1338800000,2119900000,2162400000,1876700000,1713099999.9999998
Q99LB6,NA,NA,NA,22765000,32529000,21128000
Q99LB7,10899000000,12384000000,12393000000,8055499999.999999,8623300000,6805699999.999999
Q99LC3,229170000,1356800000,1045000000,745140000,444140000,563120000
Q99LC5,15629000000,17838000000,18374000000,10661000000,11764000000,11047000000
Q99LC9,50377000,NA,41490000,131420000,72194000,32071000
Q99LD9,NA,29600000,36398000,32360000,26774000,25086000
Q99LE6,37013000,12504000,36568000,NA,19348000,NA
Q99LF4,967710000,1244700000,226700000,309970000,1518199999.9999998,395210000
Q99LM2,NA,89978000,NA,64091000,66666000,NA
Q99LP6,529310000,414670000,621880000,342480000,394410000,326670000
Q9CQD4;Q99LU0,15175000,17431000,22071000,9429100,13830000,13070000
Q99LX0,675790000,729890000,657900000,207960000,177030000,252590000
Q99M28,NA,49119000,148830000,NA,NA,NA
Q99M87,1002700000,480910000,679300000,413810000,810150000,303480000
Q99MI1;Q6PH08,NA,NA,NA,NA,102910000,16785000
Q99MN1,81239000,26813000,28874000,NA,NA,NA
Q99MN9,1258200000,1314000000,1628499999.9999998,790800000,532830000,1124700000
Q99MP8,NA,NA,50603000,58899000,23839000,53499000
Q99MR6,116370000,64660000,168080000,132490000,150540000,40601000
Q99MR8,713390000,535240000,502640000,536960000,764380000,450760000
Q99MU3,NA,NA,NA,12624000,9461300,9562700
Q99MV5,NA,NA,NA,NA,NA,2031100000
Q99MZ3,NA,96344000,63850000,13985000,13361000,15008000
Q99MZ7,2784300000,1663699999.9999998,2891300000,2085800000,2334400000,1077400000
Q99NB9,139920000,102060000,46829000,56767000,21809000,27420000
Q99P30,2140600000,1986900000,1108400000,458310000,726240000,462960000
Q99PG0,4389600000,4014399999.999999,4656600000,2400800000,2278600000,2280400000
Q99PL5,7741599999.999999,9653000000,7766499999.999999,6042099999.999999,7272299999.999999,7401799999.999999
Q99PT1,357890000,93603000,245180000,NA,93953000,80986000
Q99PV0,422790000,384040000,464180000,90176000,99726000,133210000
Q9CPN8,NA,75190000,42420000,NA,NA,NA
Q9CPP6,99981000,106260000,52240000,50059000,161460000,142790000
Q9CPQ1,1476399999.9999998,2233700000,1738899999.9999998,1020400000,1467999999.9999998,1429900000
Q9CPQ3,253180000,142770000,256860000,211540000,172440000,192790000
Q9CPQ8,1581899999.9999998,2281200000,2322300000,1210600000,1140900000,1391600000
Q9CPR4,31852000,933200000,66900000,688920000,628690000,676360000
Q9CPT4,162690000,197050000,197640000,15490000,NA,NA
Q9CPU0,750880000,746530000,572340000,149600000,143480000,539710000
Q9CPV4,169550000,156200000,214800000,78238000,85192000,76507000
Q9CPW4,58490000,66700000,67423000,NA,NA,NA
Q9CPX6,63385000,45974000,51576000,NA,NA,58564000
Q9CPY7,2131500000,2445200000,2234600000,1417100000,1961700000,1204600000
Q9CQ54,NA,NA,NA,NA,NA,51022000
Q9CQ60,103110000,130160000,189480000,86199000,66999000,NA
Q9CQ62,3357599999.9999995,3186299999.9999995,3303899999.9999995,4299200000,3444199999.9999995,4217799999.999999
Q9CQ65,52504000,47869000,NA,46217000,44022000,NA
Q9CQ69,227210000,226550000,204440000,591210000,243680000,567890000
Q9CQ73,258000000,294260000,331200000,368780000,270670000,361810000
Q9CQ75,382120000,227690000,175410000,234460000,NA,227240000
Q9CQ91,370670000,238510000,275070000,99644000,101010000,261700000
Q9CQ92,NA,NA,NA,24226000,24521000,NA
Q9CQA3,2844600000,2139400000,2527900000,1352100000,959770000,1768899999.9999998
Q9CQA9,NA,15742000,NA,77471000,43429000,47959000
Q9CQB2,NA,NA,NA,NA,60582000,50557000
Q9CQC6,253570000,190490000,295890000,948310000,739080000,679920000
Q9CQC7,345580000,422540000,446730000,322710000,348300000,537950000
Q9CQC9;P36536,636920000,811270000,667610000,517890000,420980000,699680000
Q9CQD1,NA,55600000,NA,30042000,17132000,NA
Q9CQE1,477590000,422350000,371370000,651880000,535580000,578740000
Q9CQE3,53107000,NA,NA,NA,27228000,NA
Q9CQE8,140970000,68872000,73131000,196210000,319590000,264500000
Q9CQF0,21979000,27086000,NA,12967000,24213000,30147000
Q9CQF3,NA,127680000,265870000,67709000,71777000,242230000
Q9CQF9,145510000,NA,121250000,81198000,23812000,109100000
Q9CQG6,NA,NA,NA,29651000,16490000,NA
Q9CQH3,420400000,429760000,531200000,166810000,323800000,355030000
Q9CQH7,NA,NA,58877000,84361000,55708000,110990000
Q9CQI3,NA,37425000,40747000,NA,NA,NA
Q9CQI7,NA,NA,NA,NA,9548100,NA
Q9CQJ8,70056000,NA,101460000,24352000,35277000,NA
Q9CQL4,42710000,NA,NA,NA,NA,NA
Q9CQM9,NA,27891000,NA,52466000,53997000,59946000
Q9CQN1,1840100000,1781599999.9999998,1564099999.9999998,811450000,728740000,789340000
Q9CQN6,NA,NA,612120000,66520000,38535000,NA
Q9CQQ7,1204200000,1240100000,1157500000,819980000,1003500000,1032300000
Q9CQR2,392690000,294940000,699970000,86534000,110840000,252250000
Q9CQR4,91191000,126440000,758120000,89261000,1376100000,1147900000
Q9CQS8,NA,774440000,654530000,NA,NA,NA
Q9CQT1,56677000,NA,92961000,65405000,85754000,50468000
Q9CQV1,NA,61836000,80898000,NA,NA,32566000
Q9CQV7,NA,56632000,NA,NA,NA,NA
Q9CQV8,372700000,421820000,686690000,348170000,311160000,211350000
Q9CQW9,49493000,NA,NA,NA,NA,NA
Q9CQX2,2701200000,1857800000,2383200000,2388700000,2095800000,2490500000
Q9CQZ5,521570000,326390000,326650000,342440000,328550000,492180000
Q9CQZ6,588590000,584490000,755030000,335370000,578510000,386970000
Q9CR20,38325000,70021000,42464000,NA,NA,NA
Q9CR21,NA,NA,NA,124810000,127470000,NA
Q9CR24,45303000,NA,NA,33949000,34651000,28252000
Q9CR26,NA,NA,55932000,NA,NA,9186900
Q9CR57,1016400000,948640000,832930000,292840000,104690000,433520000
Q9CR61,134260000,NA,190190000,256040000,50729000,217350000
Q9CR62,564260000,406360000,419710000,453180000,533000000,461890000
Q9CR67,130930000,171790000,117630000,52445000,55194000,59165000
Q9CR68,2650800000,2629600000,2519900000,2520500000,1827100000,2388100000
Q9CR95,NA,NA,NA,157760000,123740000,139860000
Q9CR98,161940000,206250000,183380000,NA,182190000,207340000
Q9CRB2,NA,NA,73804000,NA,67422000,70618000
Q9CRB3,125170000,173500000,178080000,NA,116890000,NA
Q9CRB9,177300000,195230000,211200000,676920000,214710000,160870000
Q9CRD0,NA,188530000,64114000,201770000,251190000,227100000
Q9CVB6,31119000,198120000,206570000,NA,NA,NA
Q9CW03,147740000,68407000,117520000,NA,34927000,59899000
Q9CW42,752620000,647150000,1085600000,735620000,1193900000,703450000
Q9CWD8,NA,NA,NA,NA,16455000,NA
Q9CWE0,NA,NA,9217900,NA,NA,NA
Q9CWJ9,78940000,160250000,59064000,NA,15586000,93323000
Q9CWK8;Q9WV80,233520000,280920000,350630000,201980000,215690000,150730000
Q9CWS0,227910000,98936000,147430000,101890000,319330000,178420000
Q9CWZ3,167230000,204570000,93644000,NA,NA,NA
Q9CWZ7,NA,NA,NA,NA,9045000,10965000
Q9CX86,201930000,147090000,160580000,NA,NA,NA
Q9CXE7,97016000,119310000,203920000,NA,NA,NA
Q9CXF0,111250000,55472000,131120000,NA,39667000,192800000
Q9CXI5,410700000,585180000,685880000,230390000,84470000,256660000
Q9CXN7,869900000,297290000,955870000,484590000,689930000,668190000
Q9CXR1,33380000,22913000,NA,66829000,112030000,55205000
Q9CXS4,168790000,132630000,195270000,102930000,78860000,107000000
Q9CXT8,47566000,60418000,NA,NA,NA,NA
Q9CXV1,369540000,404680000,NA,NA,164360000,216800000
Q9CXW2,14130000,23307000,20172000,NA,NA,NA
Q9CXW3,22263000,42244000,NA,NA,NA,23904000
Q9CXW4,1511199999.9999998,1457299999.9999998,1609099999.9999998,457860000,686660000,709350000
Q9CXY6,551830000,590610000,666820000,NA,33432000,NA
Q9CXZ1,340400000,346330000,446430000,384330000,696660000,325680000
Q9CY27,348360000,289970000,168520000,NA,NA,NA
Q9CY50,943590000,934160000,962900000,389700000,430620000,437940000
Q9CY58,88008000,103640000,201680000,316510000,631590000,680510000
Q9CY64,NA,NA,65566000,NA,NA,NA
Q9CYH2,101360000,404640000,110170000,153790000,101840000,116360000
Q9CYN2,101490000,181830000,200510000,NA,14038000,16547000
Q9CYW4,43288000,72055000,51198000,NA,NA,9837000
Q9CZ13,4495800000,4925000000,5419100000,2632900000,2365100000,2033000000
Q9CZ30,NA,NA,NA,NA,97949000,97544000
Q9CZ42,NA,12525000,NA,NA,NA,NA
Q9CZ44,NA,NA,65089000,451820000,262580000,371130000
Q9CZ83,NA,16241000,17606000,NA,NA,NA
Q9CZG9,NA,24134000,NA,NA,40728000,28390000
Q9CZJ2,NA,NA,14175000,NA,NA,20430000
Q9CZM2,807550000,728540000,1023900000,556980000,597620000,495270000
Q9CZN7,6619399999.999999,7421099999.999999,8449199999.999999,7622299999.999999,8536899999.999999,8153899999.999999
Q9CZS1,1275800000,975050000,667750000,1165700000,1028100000,810190000
Q9CZU6,2278600000,1944200000,2641300000,1612899999.9999998,1720799999.9999998,1705099999.9999998
Q9CZW5,42432000,378410000,283580000,49339000,215290000,236010000
Q9CZX8,1261000000,1244900000,1928900000,817670000,945610000,900330000
Q9CZX9,12419000,NA,NA,21789000,24248000,20489000
Q9D2M8;Q9CZY3,40976000,129720000,108150000,NA,NA,101730000
Q9D023,221310000,271470000,388220000,366690000,NA,NA
Q9D024,259280000,213840000,329860000,133810000,61612000,80344000
Q9D051,1323300000,1570299999.9999998,1446900000,1198700000,1427200000,824630000
Q9D0B0,121350000,148220000,118730000,NA,NA,NA
Q9D0E1,1289000000,1208300000,984100000,1669299999.9999998,1775499999.9999998,1685399999.9999998
Q9D0F3,656440000,787750000,737750000,436240000,548410000,591860000
Q9D0F9,1457499999.9999998,1570999999.9999998,1806200000,1413600000,1472299999.9999998,1178100000
Q9D0G0,NA,NA,NA,NA,NA,15660000
Q9D0I9,NA,75433000,79681000,56363000,80406000,NA
Q9D0J8,493430000,482250000,543310000,400210000,461070000,364960000
Q9D0M1;Q8R574,41590000,54655000,36552000,NA,NA,NA
Q9D0M3,2507300000,1903000000,2076700000,1221300000,1307500000,1052700000
Q9D0R2,181260000,124680000,169140000,186120000,100420000,87827000
Q9D0R8,42183000,NA,34496000,NA,28982000,37014000
Q9D0S9,1142500000,1196900000,794520000,443940000,440060000,440220000
Q9D0T1,158890000,182110000,302690000,57068000,NA,53828000
Q9D172,978370000,780020000,881160000,463300000,715430000,887610000
Q9D1A2,NA,NA,79246000,47099000,NA,73636000
Q9D1D4,592270000,920190000,813510000,413560000,475220000,428240000
Q9D1G1,1091800000,1763899999.9999998,1583799999.9999998,933190000,1054300000,1005000000
Q9D1H7,NA,NA,NA,NA,9447300,NA
Q9D1H9,NA,NA,170210000,43465000,162000000,35707000
Q9D1I5,76843000,NA,NA,NA,NA,NA
Q9D1J3,NA,NA,NA,48491000,NA,54743000
Q9D1L0,276970000,255520000,372130000,603260000,782770000,628710000
Q9D1M0,85257000,99073000,252760000,91092000,114350000,51509000
Q9D1M7,131990000,202350000,227980000,NA,NA,NA
Q9D1Q4,NA,NA,NA,NA,NA,75511000
Q9D1Q6,199990000,239830000,316640000,26289000,62481000,56053000
Q9D1R9,371030000,388650000,331500000,215350000,283650000,196140000
Q9D273,47463000,NA,NA,NA,NA,NA
Q9D2G2,1492399999.9999998,1146700000,1326700000,1938700000,2186200000,1339300000
Q9D2K4,45136000,NA,NA,NA,68955000,NA
Q9D2N4,NA,NA,2023900000,62467000,NA,752240000
Q9D2R0,115200000,209670000,39425000,NA,NA,47182000
Q9D379,3777699999.999999,4156299999.999999,5422700000,3522999999.9999995,4176899999.999999,5503300000
Q9D3B1,NA,NA,NA,107310000,107340000,114530000
Q9D3D9,1333100000,1590899999.9999998,1580999999.9999998,1351600000,1594099999.9999998,1683199999.9999998
Q9D404,69729000,NA,NA,70890000,120000000,72990000
Q9D517,NA,NA,NA,NA,102430000,NA
Q9D554,122500000,64849000,94529000,NA,NA,39047000
Q9D5R3,107270000,114160000,151810000,292170000,121830000,137580000
Q9D5T0,103560000,52747000,16733000,61308000,85224000,43470000
Q9D662,NA,NA,NA,122620000,NA,NA
Q9D6J5,NA,147020000,47852000,NA,NA,13056000
Q9D6J6,458450000,691660000,639040000,530790000,672500000,546060000
Q9D6K5,NA,NA,NA,24616000,NA,36685000
Q9D6M3;Q9DB41,478080000,159730000,440590000,508130000,731540000,644480000
Q9D6R2,244630000,253280000,NA,NA,NA,NA
Q9D6S7,39697000,183210000,25552000,79939000,89612000,64795000
Q9D6U8,166110000,212730000,173970000,NA,NA,NA
Q9D6Y7,1065500000,936710000,964660000,410730000,1218400000,1081800000
Q9D6Y9,1268500000,812790000,1185200000,520780000,594600000,713220000
Q9D6Z1,146580000,151820000,447580000,137820000,188730000,286390000
Q9D7B6,53734000,24314000,81720000,105420000,45355000,140010000
Q9D7J9,406660000,495540000,432100000,262940000,264350000,316190000
Q9D7N3,88347000,NA,NA,6778100,29901000,NA
Q9D7N9,114920000,156730000,101780000,109640000,104770000,106930000
Q9D7P6,15768000,98240000,20916000,21906000,19822000,NA
Q9D7X3,NA,NA,NA,NA,11509000,17480000
Q9D819,689820000,1130900000,831790000,293940000,391290000,241850000
Q9D826,204700000,491700000,427140000,199230000,518000000,353960000
Q9D855,816510000,379660000,368680000,219980000,415130000,349430000
Q9D880,NA,NA,NA,67845000,77641000,78198000
Q9D883;Q8BGJ9,91746000,51506000,289010000,70973000,NA,52653000
Q9D8B4,184140000,200160000,173100000,48478000,48693000,57257000
Q9D8C4,NA,NA,31534000,NA,NA,NA
Q9D8E6,2313200000,2920199999.9999995,2160700000,1054100000,1392100000,1410700000
Q9D8N0,2236300000,1920600000,1454900000,328660000,527330000,650540000
Q9D8S9,87995000,55671000,248350000,118960000,55984000,206760000
Q9D8T2,78844000,68488000,NA,31529000,35570000,28889000
Q9D8U8,39151000,NA,155300000,26038000,63294000,NA
Q9D8V0,NA,146450000,77363000,54126000,54472000,78870000
Q9D8W5,26049000,14821000,46641000,50425000,101620000,34645000
Q9D8W7,NA,NA,NA,12134000,16112000,11084000
Q9D8Y0,103810000,NA,NA,NA,NA,NA
Q9D8Z1,NA,47115000,NA,NA,33214000,NA
Q9D906,NA,NA,NA,NA,6209900,NA
Q9D9M2;P62069,NA,NA,NA,NA,14661000,NA
Q9D9V3,188760000,88009000,74605000,93882000,174000000,43063000
Q9DAK9,NA,NA,14343000,NA,NA,NA
Q9DAS9,91418000,73724000,84803000,NA,NA,NA
Q9DAV9,NA,NA,NA,39771000,37767000,NA
Q9DAW6,NA,NA,34039000,18933000,25507000,26846000
Q9DAW9,71428000,53651000,58779000,13084000,61071000,78290000
Q9DB05,51352000,NA,31894000,NA,NA,13650000
Q9DB15,100530000,168040000,151320000,105560000,149860000,96491000
Q9DB20,3465999999.9999995,5055700000,4936300000,3185799999.9999995,1967200000,1310800000
Q9DB29,246660000,229370000,248630000,103040000,70179000,123550000
Q9DB77,5894699999.999999,5500900000,4684000000,2520100000,3040999999.9999995,3685799999.999999
Q9DBA8,366550000,201520000,380440000,410640000,241830000,223910000
Q9DBB8,372460000,554420000,36596000,433520000,335550000,299410000
Q9DBC0,NA,NA,NA,23114000,NA,45082000
Q9DBC3,NA,NA,10588000,NA,NA,NA
Q9DBE0;Q80WP8,891630000,1595299999.9999998,1092200000,123070000,179170000,110590000
Q9DBF1,3311799999.9999995,2827200000,3258099999.9999995,2983499999.9999995,2418500000,2580100000
Q9DBG1,2435900000,2347400000,3356599999.9999995,946030000,1214400000,1375100000
Q9DBG3,2319200000,3081699999.9999995,3608899999.999999,2398800000,1976100000,2184600000
Q9DBG5,NA,NA,NA,42851000,16741000,21493000
Q9DBG6,3444799999.9999995,3511399999.9999995,3280799999.9999995,1241800000,1828700000,1166400000
Q9DBG7,139340000,312430000,339110000,NA,NA,NA
Q9DBH5,455150000,NA,365980000,240940000,141040000,398510000
Q9DBJ1;O70250,1505399999.9999998,1294400000,1227500000,744900000,662080000,801660000
Q9DBJ3,NA,NA,NA,110850000,46251000,126140000
Q9DBK0,169410000,30333000,84608000,38910000,73163000,141860000
Q9DBL1,225510000,371500000,314530000,115210000,152530000,188120000
Q9DBL7,928270000,836250000,1629099999.9999998,667450000,728060000,787310000
Q9DBM2,6153999999.999999,3697099999.999999,4143899999.999999,14620000000,13975000000,13920000000
Q9DBN5;REV__A8C756,41865000,244330000,256260000,227400000,152440000,333020000
Q9DBP5,319870000,348940000,188340000,234450000,161480000,115430000
Q9DBR1,NA,NA,NA,21310000,NA,NA
Q9DBT9,6975099999.999999,5510900000,5618000000,4347300000,5015500000,4841900000
Q9DBZ5,NA,NA,NA,52351000,NA,NA
Q9DC16,57693000,NA,NA,NA,91390000,NA
Q9DC50,484140000,478760000,782250000,533480000,612480000,618830000
Q9DC51,39226000,23623000,118280000,NA,NA,37000000
Q9DC69,931020000,696350000,872160000,450590000,461570000,408490000
Q9DC70,165290000,56657000,65167000,154230000,121680000,176360000
Q9DCC7,NA,NA,NA,12016000,NA,NA
Q9DCD0,395230000,423780000,443500000,312130000,95945000,152150000
Q9DCE9;A0A140LIF8,NA,18038000,NA,82692000,154040000,86978000
Q9DCF9,NA,NA,NA,42768000,21827000,NA
Q9DCG6,369510000,403930000,321440000,287170000,448320000,268770000
Q9DCH4,322890000,79943000,247710000,213620000,270770000,391760000
Q9DCJ5,653280000,475850000,526360000,445210000,640670000,342970000
Q9DCL9,26423000,NA,59340000,12959000,41909000,35228000
Q9DCM0,247450000,NA,NA,264190000,319310000,224900000
Q9DCM2,2250900000,1735599999.9999998,1904300000,2651400000,2982699999.9999995,2960999999.9999995
Q9DCN1,NA,NA,NA,47898000,31278000,34097000
