protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P37040,1757399999.9999998,1695299999.9999998,2093500000,1125200000,1283300000,1147400000
P37889,NA,41301000,NA,40715000,10619000,39103000
P38060;Q8JZS7,1518099999.9999998,1457299999.9999998,1642499999.9999998,1683099999.9999998,2388800000,2237800000
P38647,11945000000,11403000000,11381000000,6519199999.999999,6927499999.999999,6676899999.999999
P39054;P39053,260560000,95763000,32025000,409020000,764860000,492910000
P39061,5366900000,6156899999.999999,4949100000,8782400000,7204099999.999999,9262700000
P39447,438060000,546990000,96030000,877880000,736620000,803990000
P40124,275570000,357160000,439560000,378410000,482800000,359220000
P40142,1880400000,2206900000,1754099999.9999998,1772699999.9999998,1773099999.9999998,1590299999.9999998
P40237,38744000,25245000,NA,NA,45372000,NA
P40630,NA,NA,53718000,87668000,99035000,NA
P40936,2236900000,1278400000,2157200000,208600000,253010000,195040000
P41105,369240000,707330000,1223900000,253100000,346640000,413990000
P41216,9985300000,10832000000,12689000000,10468000000,11336000000,11902000000
P41234,216110000,135230000,167620000,25588000,NA,153830000
P41317,303800000,215910000,143370000,112620000,225700000,247130000
P42125,3323899999.9999995,4784100000,4518500000,5589900000,5567100000,5995599999.999999
P42208,123380000,98819000,154260000,152550000,162840000,179250000
P42225,NA,42367000,42820000,NA,NA,NA
P42227,23400000,92653000,134750000,NA,18477000,77401000
P42567,69429000,70935000,77513000,62149000,102760000,53642000
P42669,1138600000,1375000000,1194200000,2025900000,1374100000,1995500000
P42925,56363000,52038000,NA,29462000,25622000,46609000
P42932,3133999999.9999995,1420700000,2217000000,2477900000,3306699999.9999995,3141499999.9999995
P43274,1639299999.9999998,1449800000,683020000,1095300000,1130900000,566360000
P43275,NA,NA,NA,NA,49093000,46737000
P43276,154040000,NA,47851000,292640000,46653000,299280000
P43277,359080000,409200000,423750000,454620000,409800000,381370000
P43406,NA,9740900,NA,11986000,9593900,5561800
P43883,NA,NA,NA,1558899999.9999998,1370500000,1791599999.9999998
P45591,423110000,454120000,511840000,342960000,286390000,133100000
P45878,622630000,226810000,740820000,1016800000,276940000,245540000
P45952,2114200000,1346400000,2122600000,4030099999.999999,5232700000,3629499999.999999
